game_date,CH,CS,CU,EP,FA,FC,FF,FO,FS,FT,KC,KN,SI,SL
2019-03-28,1765.2673684210527,,2583.727011494253,2232.6666666666665,,2369.0476190476193,2299.973537604457,,1462.7297297297298,2231.084375,2717.5238095238096,,2171.441935483871,2455.633941093969
2019-03-29,1958.4409090909091,,2452.526066350711,,,2375.3863636363635,2296.6764408493427,,1376.4782608695652,2162.3508771929824,2524.059405940594,,2215.5879396984924,2389.5691244239633
2019-03-30,1699.717889908257,,2539.5533141210376,,1502.7169811320755,2354.3992805755397,2249.64709762533,,1445.4383561643835,2213.4787644787643,2414.4233576642337,,2095.7303609341825,2451.172573189522
2019-03-31,1775.1603375527427,2285.3333333333335,2475.331210191083,,,2322.275568181818,2291.7804323094424,,1343.7532467532467,2197.804232804233,2426.191011235955,,2165.3385579937303,2419.366718027735
2019-04-01,1835.487341772152,,2470.010989010989,,,2332.2722513089006,2312.7419825072884,,1533.7,2181.7365591397847,2427.8354430379745,,2071.4767441860463,2439.9698581560283
2019-04-02,1777.8179347826087,,2518.893203883495,2209.0,,2344.156996587031,2280.6321009918847,,1313.3529411764705,2170.239436619718,2501.3064516129034,,2143.19209039548,2400.9440124416797
2019-04-03,1891.9430051813472,,2539.1214689265535,,,2381.625,2318.6825174825176,,1316.2881355932204,2174.2579505300355,2534.6319444444443,,2185.5561497326203,2381.224592220828
2019-04-04,1648.7158671586717,,2568.6926605504586,,,2406.6470588235293,2282.22084623323,,1565.5714285714287,2167.0387596899227,2442.3623188405795,,2069.801801801802,2452.5062111801244
2019-04-05,1793.8272727272727,2127.0,2502.0384615384614,,,2359.7737556561087,2279.3689956331878,,1590.8395061728395,2202.574324324324,2452.4811320754716,,2127.5231481481483,2462.977966101695
2019-04-06,1768.5534351145038,,2443.2796833773086,,,2308.6369863013697,2277.9069898534385,,1281.72,2233.045602605863,2399.285714285714,,2152.8317757009345,2450.8690330477357
2019-04-07,1809.5675057208239,2152.0,2546.212201591512,,1452.6,2352.387622149837,2319.1075619295957,,1307.3181818181818,2207.599567099567,2376.1666666666665,,2174.251445086705,2466.5597897503285
2019-04-08,1794.7962264150945,,2598.8465346534654,,,2389.181818181818,2303.634212920837,,1532.0526315789473,2147.4869109947645,2550.027397260274,,2109.476923076923,2408.0842911877394
2019-04-09,1869.2,2292.0,2534.5985915492956,2333.0,,2375.7461139896373,2305.4041835357625,,1364.958904109589,2183.4289940828403,2584.6807228915663,,2168.6659292035397,2419.962168978562
2019-04-10,1848.7601078167115,,2507.656826568266,,,2324.6846846846847,2271.419930875576,,1483.357142857143,2220.1674008810573,2416.2916666666665,,2132.9590909090907,2429.4955223880597
