,launch_angle,launch_speed,estimated_ba_using_speedangle,events
189,24,96.4,0.266,field_out
250,-5,86.6,0.189,field_out
276,48,94.8,0.006,field_out
95,0,104.2,0.409,field_out
105,30,107.7,0.974,home_run
146,15,94.3,0.869,single
159,7,107.6,0.723,single
207,14,104.2,0.751,single
258,10,97.2,0.783,single
53,36,88.4,0.026,field_out
61,11,98.3,0.874,single
67,33,99.8,0.42,home_run
112,80,70.1,0.003,field_out
82,-5,106.0,0.377,field_out
85,38,98.0,0.14,field_out
96,-13,107.6,0.277,field_out
115,72,92.8,0.011,field_out
170,9,88.8,0.594,single
237,42,95.4,0.023,field_out
111,40,90.3,0.009,field_out
158,27,91.1,0.109,field_out
188,10,97.0,0.783,double
252,24,59.0,0.42,field_out
218,27,73.7,0.729,single
272,23,105.0,0.889,home_run
7,-7,106.2,0.311,grounded_into_double_play
152,21,99.1,0.374,field_out
160,-5,98.6,0.291,field_out
15,0,109.5,0.546,field_out
20,-10,105.5,0.303,field_out
24,23,86.3,0.197,field_out
275,2,50.3,0.097,field_out
290,-40,69.2,0.097,field_out
28,-6,97.0,0.266,field_out
35,29,66.8,0.923,single
36,15,90.2,0.954,single
39,9,95.8,0.674,single
45,10,72.6,0.28,field_out
184,47,79.9,0.043,field_out
227,-1,85.7,0.223,single
47,4,79.3,0.22,field_out
54,41,101.1,0.123,field_out
70,3,94.8,0.443,single
83,27,112.3,0.997,home_run
88,10,106.9,0.823,single
118,22,108.2,0.929,home_run
251,43,98.2,0.046,field_out
129,54,88.7,0.009,field_out
204,-24,94.4,0.109,single
253,0,97.3,0.397,field_out
99,-12,69.5,0.077,field_out
132,26,109.2,0.983,home_run
153,-3,68.9,0.103,single
217,23,99.8,0.534,field_out
307,27,102.4,0.774,field_out
366,-23,67.7,0.049,field_out
468,7,81.0,0.329,field_out
215,23,104.8,0.889,home_run
265,26,87.5,0.1,double
296,7,100.8,0.594,single
463,-33,68.1,0.057,field_out
556,71,92.3,0.011,field_out
319,47,92.0,0.0,field_out
339,15,105.3,0.674,field_error
432,-26,96.3,0.086,field_out
537,-5,40.9,0.211,field_out
258,21,104.2,0.697,field_out
269,-1,101.2,0.423,grounded_into_double_play
311,16,110.8,0.711,single
264,34,90.9,0.06,field_out
293,29,86.0,0.057,field_out
332,-34,56.4,0.106,field_out
491,59,97.9,0.017,field_out
321,0,77.8,0.149,force_out
486,47,77.1,0.077,field_out
522,-1,107.1,0.477,single
481,-9,98.6,0.254,field_out
488,7,97.2,0.597,single
552,41,74.4,0.183,field_out
105,16,100.2,0.549,single
109,5,101.8,0.574,single
13,32,80.1,0.06,sac_fly
25,22,74.6,0.94,single
26,49,75.4,0.117,field_out
40,-14,92.2,0.129,single
