,launch_angle,launch_speed,estimated_ba_using_speedangle,events
97,30,104.9,0.927,home_run
205,69,80.0,0.0,field_out
48,51,96.5,0.013,field_out
109,34,97.7,0.26,home_run
293,7,105.9,0.653,single
72,-8,88.1,0.14,force_out
179,12,101.1,0.9,single
188,16,101.1,0.56,field_out
271,-10,84.8,0.127,field_out
182,10,73.8,0.313,grounded_into_double_play
270,6,102.4,0.587,single
162,-12,94.3,0.187,field_out
189,-11,97.7,0.267,field_out
163,42,68.2,0.5,double_play
240,79,82.0,0.0,field_out
275,12,85.2,0.707,single
160,-70,72.9,0.32,field_out
214,-35,83.3,0.04,force_out
238,-3,108.0,0.453,single
323,-38,91.6,0.053,field_out
0,16,99.0,0.633,field_out
2,22,69.6,0.973,single
22,3,102.7,0.56,grounded_into_double_play
52,42,94.8,0.067,field_out
67,-19,67.7,0.033,field_out
169,-7,99.9,0.227,field_out
255,-36,85.9,0.047,field_out
123,24,100.8,0.687,field_out
165,10,89.7,0.673,single
252,26,103.8,0.913,home_run
7,-9,86.9,0.127,field_out
21,-33,65.9,0.053,field_out
36,69,80.0,0.0,field_out
314,-47,82.1,0.047,field_out
45,33,77.4,0.087,field_out
57,14,78.1,0.647,single
203,-31,90.2,0.1,field_out
98,-15,97.7,0.233,field_out
177,8,97.4,0.573,field_out
263,-24,73.0,0.073,field_out
100,5,110.4,0.667,single
110,18,106.7,0.713,double
211,-33,66.4,0.053,field_out
64,-16,90.5,0.127,field_out
82,21,98.6,0.393,home_run
138,44,87.2,0.007,field_out
207,23,99.3,0.553,double
237,-14,82.2,0.08,field_out
279,-7,103.4,0.307,field_out
208,6,90.1,0.553,field_out
213,51,98.4,0.033,field_out
235,33,99.2,0.34,field_out
253,-15,71.1,0.067,field_out
205,-64,109.4,0.173,field_out
8,36,95.4,0.12,field_out
224,20,90.8,0.367,field_out
237,-5,97.6,0.253,force_out
238,4,104.5,0.593,single
249,43,86.2,0.013,field_out
54,69,80.0,0.0,field_out
0,30,100.4,0.58,field_out
15,18,89.0,0.627,field_out
73,49,90.5,0.0,field_out
24,-21,89.1,0.093,force_out
95,49,89.1,0.007,field_out
100,31,62.8,0.74,single
110,4,86.3,0.313,field_out
77,31,90.9,0.087,field_out
85,-3,110.3,0.46,single
116,-3,94.3,0.34,field_out
123,22,99.2,0.433,field_out
133,-3,92.6,0.353,field_out
88,69,80.0,0.0,field_out
91,9,105.0,0.767,single
109,56,84.0,0.02,field_out
141,-15,101.4,0.227,field_out
145,-1,88.5,0.253,field_out
155,32,83.9,0.033,field_out
124,22,74.8,0.967,single
159,64,80.9,0.0,field_out
175,22,105.5,0.92,home_run
215,26,78.2,0.393,double
230,12,106.9,0.9,single
250,26,103.2,0.893,home_run
171,17,96.8,0.493,field_out
180,21,98.4,0.3,field_out
217,-32,74.0,0.053,field_out
244,-14,60.6,0.073,single
161,55,91.8,0.0,field_out
270,-24,90.4,0.147,field_out
274,49,81.0,0.013,field_out
121,69,80.0,0.0,field_out
215,24,76.6,0.733,single
305,-27,66.2,0.067,field_error
304,69,80.0,0.0,field_out
177,3,88.9,0.373,field_error
157,39,89.2,0.013,field_out
242,16,90.2,0.813,field_out
301,-15,85.6,0.093,field_error
223,-5,97.9,0.253,field_error
289,6,100.7,0.6,double
188,-17,91.9,0.16,field_out
183,14,77.9,0.647,field_out
229,15,100.1,0.633,field_out
153,30,71.2,0.793,double
163,69,80.0,0.0,field_out
256,21,110.9,0.987,home_run
173,69,80.0,0.0,field_out
272,17,109.5,0.727,home_run
286,12,101.5,0.913,single
327,69,80.0,0.0,field_out
0,3,69.1,0.12,field_error
19,12,103.9,0.873,single
26,-19,74.5,0.033,field_out
5,16,106.8,0.593,field_out
18,32,95.1,0.267,field_out
24,-17,101.6,0.253,field_out
35,-4,81.6,0.167,field_out
38,-12,97.5,0.227,field_out
30,26,95.2,0.267,field_out
36,5,101.4,0.587,field_out
44,24,91.3,0.227,field_out
61,43,72.8,0.267,field_out
47,39,89.2,0.013,field_out
49,39,89.2,0.013,field_out
60,-10,82.8,0.1,fielders_choice_out
63,13,102.0,0.92,single
69,-17,90.3,0.147,single
80,22,109.8,0.993,home_run
84,22,73.7,0.967,single
99,-30,54.9,0.08,field_out
105,14,83.3,0.887,single
111,69,80.0,0.0,field_out
110,1,113.1,0.587,field_out
129,13,104.3,0.847,field_out
176,55,62.5,0.013,field_out
179,43,72.6,0.267,single
232,6,99.5,0.6,force_out
147,63,93.4,0.007,field_out
257,24,91.0,0.227,field_out
323,8,107.8,0.727,field_out
243,36,97.2,0.227,field_out
262,69,80.0,0.0,field_out
311,33,75.4,0.153,field_out
296,30,100.5,0.58,field_out
330,-5,93.8,0.253,field_out
273,7,102.6,0.633,single
331,41,101.4,0.16,field_out
347,4,100.2,0.56,field_out
388,0,102.1,0.46,single
417,25,93.8,0.227,field_out
479,25,91.3,0.167,field_out
409,50,88.8,0.0,field_out
511,26,94.6,0.267,field_out
310,11,97.6,0.873,single
381,50,94.5,0.013,field_out
320,8,103.2,0.713,field_out
469,69,80.0,0.0,field_out
464,46,77.6,0.067,field_out
546,18,107.3,0.713,field_out
53,27,103.3,0.94,double
