game_date,CH,CS,CU,EP,FA,FC,FF,FS,KC,KN,SC,SI,SL
2021-04-01,1762.0477326968974,2424.3333333333335,2548.815181518152,,,2398.0341296928327,2328.174515235457,1434.4647887323943,2560.3513513513512,,,2182.623693379791,2458.9508771929823
2021-04-02,1867.7859922178989,2521.0,2435.2655367231637,,,2404.150485436893,2344.4804270462632,1371.2105263157894,2711.344827586207,,,2149.043010752688,2439.0840108401085
2021-04-03,1808.962389380531,2462.0,2621.8056426332287,,,2508.9545454545455,2314.3992063492065,1542.875,2684.4495412844035,,,2205.7184986595175,2456.7796833773086
2021-04-04,1799.1927437641723,,2483.830618892508,,1841.578947368421,2365.32,2314.026296566837,1460.0714285714287,2641.2380952380954,,,2172.157112526539,2431.21875
2021-04-05,1821.707729468599,,2471.99173553719,,1951.4444444444443,2323.558035714286,2309.4470323065366,1427.060975609756,2325.6309523809523,,,2148.046004842615,2406.32951653944
2021-04-06,1740.7338403041824,1902.5,2528.1076115485566,,2120.2,2420.6746031746034,2334.459661016949,1363.05,2686.435185185185,,,2185.5024549918166,2477.9574468085107
2021-04-07,1881.898148148148,1735.5,2542.685131195335,,,2381.467213114754,2315.0857946554147,1524.8305084745762,2641.8125,,,2124.5945454545454,2477.084595959596
2021-04-08,1800.6411960132891,2135.0,2568.6603053435115,,,2466.2490118577075,2291.314792899408,1219.4166666666667,2620.3050847457625,,,2173.3579234972676,2454.0
2021-04-09,1734.1187050359713,2652.0,2637.3193277310925,,,2439.80790960452,2299.2620519159454,1803.5294117647059,2671.4666666666667,,,2155.12100456621,2448.7938775510206
2021-04-10,1765.4294003868472,2270.5,2537.2492492492493,,,2408.9356223175964,2302.9920106524633,1349.8474576271187,2494.7727272727275,,,2175.872919818457,2426.1876640419946
2021-04-11,1704.1016042780748,,2456.264840182648,,,2348.5675675675675,2316.4118438761775,1429.111111111111,2425.6711409395975,,1945.0,2092.256554307116,2469.80608365019
2021-04-12,1762.6655844155844,,2585.3512195121953,1263.0,1387.0,2400.8722627737225,2354.6840521564695,1540.4204545454545,2579.0117647058823,,,2176.037906137184,2466.741176470588
2021-04-13,1820.6799387442572,,2465.8066157760813,,1586.5555555555557,2391.5533980582522,2287.2357813362783,1524.8275862068965,2524.4557823129253,,,2161.187319884726,2465.856966707768
2021-04-14,1765.6782608695653,,2673.4,,,2458.541786743516,2314.5561224489797,1448.2307692307693,2773.4137931034484,,,2176.7065073041167,2461.6674612634088
2021-04-15,1797.5894428152492,2693.1666666666665,2569.748322147651,,,2375.4260355029587,2300.9549483013293,1448.7659574468084,2483.021276595745,,,2152.849099099099,2420.158095238095
2021-04-16,1775.1333333333334,,2494.0257731958764,1097.8,1957.5555555555557,2408.7686832740214,2279.1486928104573,1763.7777777777778,2593.9882352941177,,,2138.5742904841404,2424.617842876165
