,Season,HR
0,1950,129.5625
1,1951,116.4375
2,1952,106.3125
3,1953,129.75
4,1954,121.0625
5,1955,139.0
6,1956,143.375
7,1957,137.625
8,1958,140.0
9,1959,140.625
10,1960,133.0
11,1961,151.66666666666666
12,1962,150.05
13,1963,135.2
14,1964,138.1
15,1965,134.4
16,1966,137.15
17,1967,114.95
18,1968,99.75
19,1969,129.95833333333334
20,1970,142.875
21,1971,119.29166666666667
22,1972,105.58333333333333
23,1973,129.25
24,1974,110.375
25,1975,112.41666666666667
26,1976,93.125
27,1977,140.15384615384616
28,1978,113.6923076923077
29,1979,132.03846153846155
30,1980,118.73076923076923
32,1982,129.96153846153845
33,1983,126.96153846153847
34,1984,125.3076923076923
35,1985,138.53846153846155
36,1986,146.65384615384616
37,1987,171.46153846153845
38,1988,122.3076923076923
39,1989,118.57692307692308
40,1990,127.57692307692308
41,1991,130.1153846153846
42,1992,116.84615384615384
43,1993,143.92857142857142
44,1994,118.07142857142857
45,1995,145.75
46,1996,177.21428571428572
47,1997,165.71428571428572
48,1998,168.8
49,1999,184.26666666666668
50,2000,189.76666666666668
51,2001,181.93333333333334
52,2002,168.63333333333333
53,2003,173.56666666666666
54,2004,181.7
55,2005,167.23333333333332
56,2006,179.53333333333333
57,2007,165.23333333333332
58,2008,162.6
59,2009,168.06666666666666
60,2010,153.76666666666668
61,2011,151.73333333333332
62,2012,164.46666666666667
63,2013,155.36666666666667
64,2014,139.53333333333333
65,2015,163.63333333333333
66,2016,187.0
67,2017,203.5
68,2018,186.16666666666666
69,2019,225.86666666666667
71,2021,198.13333333333333
