,Season,wOBA
0,1950,0.34575
1,1951,0.336125
2,1952,0.3265
3,1953,0.33575
4,1954,0.33287500000000003
5,1955,0.3266875
6,1956,0.3254375
7,1957,0.3184375
8,1958,0.319875
9,1959,0.3188125
10,1960,0.3184375
11,1961,0.32372222222222224
12,1962,0.32145
13,1963,0.3035
14,1964,0.3066
15,1965,0.3043
16,1966,0.30305
17,1967,0.2988
18,1968,0.2914
19,1969,0.313
20,1970,0.3189166666666667
21,1971,0.3100833333333333
22,1972,0.30333333333333334
23,1973,0.31858333333333333
24,1974,0.318
25,1975,0.32104166666666667
26,1976,0.31445833333333334
27,1977,0.32346153846153847
28,1978,0.31753846153846155
29,1979,0.3238846153846154
30,1980,0.32
32,1982,0.3181538461538462
33,1983,0.3188846153846154
34,1984,0.3172307692307692
35,1985,0.31734615384615383
36,1986,0.32019230769230766
37,1987,0.32561538461538464
38,1988,0.3118076923076923
39,1989,0.31334615384615383
40,1990,0.3186538461538462
41,1991,0.31796153846153846
42,1992,0.31653846153846155
43,1993,0.32642857142857146
44,1994,0.33303571428571427
45,1995,0.33292857142857146
46,1996,0.3350714285714286
47,1997,0.3320714285714286
48,1998,0.3311
49,1999,0.3403333333333334
50,2000,0.3405333333333333
51,2001,0.32703333333333334
52,2002,0.3257333333333333
53,2003,0.32753333333333334
54,2004,0.3299666666666667
55,2005,0.32570000000000005
56,2006,0.3314333333333333
57,2007,0.33089999999999997
58,2008,0.32813333333333333
59,2009,0.3285
60,2010,0.32083333333333336
61,2011,0.3158
62,2012,0.31489999999999996
63,2013,0.31366666666666665
64,2014,0.30993333333333334
65,2015,0.31320000000000003
66,2016,0.3179666666666667
67,2017,0.32086666666666663
68,2018,0.31460000000000005
69,2019,0.31973333333333337
71,2021,0.3142
