,name_last,name_first,key_mlbam
0,abad,fernando,472551
1,abbott,cory,676265
2,abreu,albert,656061
3,abreu,bryan,650556
4,acevedo,domingo,642758
5,adam,jason,592094
6,adams,austin,613534
7,aguilar,miguel,620396
8,akin,keegan,669211
9,alaniz,r. j.,595798
10,albers,andrew,452027
11,alcala,jorge,660896
12,alcantara,sandy,645261
13,alcantara,sergio,642727
14,alexander,tyler,641302
15,alexy,a. j.,669935
16,allard,kolby,663465
17,allen,logan,663531
18,almonte,yency,622075
19,alvarado,jose,621237
20,alvarez,jose,501625
21,alzolay,adbert,640470
22,anderson,brett,474463
23,anderson,chase,502624
24,anderson,drew,623454
25,anderson,ian,666120
26,anderson,nick,623433
27,anderson,shaun,641312
28,anderson,tanner,664196
29,anderson,tyler,542881
30,andriese,matt,542882
31,antone,tejay,622088
32,arauz,jonathan,660620
33,archer,chris,502042
34,arihara,kohei,685503
35,armstrong,shawn,542888
36,arrieta,jake,453562
37,ashby,aaron,676879
38,astudillo,willians,553902
39,avila,pedro,658648
40,axford,john,446099
41,baez,pedro,520980
42,baker,bryan,641329
43,baldonado,alberto,593604
44,banda,anthony,607455
45,baragar,caleb,670056
46,bard,daniel,453268
47,barlow,joe,669618
48,barlow,scott,605130
49,barnes,charlie,656212
50,barnes,jacob,606930
51,barnes,matt,598264
52,barraclough,kyle,607457
53,barreda,manny,518435
54,barria,jaime,642545
55,bass,anthony,542914
56,bassitt,chris,605135
57,baumann,mike,657508
58,baz,shane,669358
59,bednar,david,670280
60,bedrosian,cam,592135
61,bellatti,andrew,571479
62,bender,anthony,669622
63,benjamin,wes,605138
64,berrios,jose,621244
65,bickford,phil,641360
66,bieber,shane,669456
67,bielak,brandon,656232
68,blackburn,paul,621112
69,bleier,richard,542947
70,blewett,scott,656240
71,borucki,ryan,621366
72,bostick,akeem,641384
73,bowden,ben,641386
74,boxberger,brad,502202
75,boyd,matt,571510
76,brach,brad,542960
77,bradley,archie,605151
78,brasier,ryan,518489
79,brault,steven,643230
80,brebbia,john,605154
81,brentz,jake,641394
82,britton,zack,502154
83,brogdon,connor,641401
84,brothers,rex,571521
85,brubaker,jt,664141
86,bruihl,justin,677865
87,bubic,kris,663460
88,buchter,ryan,488748
89,buehler,walker,621111
90,bukauskas,j. b.,656266
91,bumgarner,madison,518516
92,bummer,aaron,607481
93,bundy,dylan,605164
94,burdi,zack,641420
95,burnes,corbin,669203
96,burr,ryan,621114
97,burrows,beau,663366
98,cabrera,edward,665795
99,cabrera,genesis,650893
100,camarena,dan,547176
101,campbell,paul,669294
102,carlton,drew,656290
103,carrasco,carlos,471911
104,castano,daniel,641447
105,castellanos,humberto,528748
106,castillo,diego,650895
107,castillo,luis,622491
108,castro,anthony,621593
109,castro,kervin,665645
110,castro,miguel,612434
111,cease,dylan,656302
112,cessa,luis,570666
113,chacin,jhoulys,468504
114,chafin,andrew,605177
115,chapman,aroldis,547973
116,chargois,j. t.,608638
117,chatwood,tyler,543022
118,chavez,jesse,445926
119,cimber,adam,643256
120,cishek,steve,518553
121,cisnero,jose,542585
122,civale,aaron,650644
123,clarke,taylor,664199
124,clase,emmanuel,661403
125,clay,sam,621348
126,cleavinger,garrett,664076
127,clippard,tyler,461325
128,cobb,alex,502171
129,cole,gerrit,543037
130,coleman,dylan,669395
131,colome,alex,517008
132,conley,adam,543045
133,contreras,roansy,672710
134,coonrod,sam,656322
135,corbin,patrick,571578
136,cortes,nestor,641482
137,cotton,jharel,605194
138,coulombe,danny,543056
139,cousins,jake,664776
140,crawford,kutter,676710
141,crichton,stefan,592233
142,crismatt,nabil,622503
143,criswell,cooper,681867
144,crochet,garrett,676979
145,crouse,hans,668968
146,crowe,wil,640444
147,cueto,johnny,456501
148,culberson,charlie,518586
149,curtiss,john,595928
150,darvish,yu,506433
151,davies,zach,605200
152,davis,austin,656354
153,davis,wade,451584
154,de geus,brett,676969
155,de los santos,enyel,660853
156,del pozo,miguel,600887
157,desclafani,anthony,543101
158,detmers,reid,672282
159,detwiler,ross,446321
160,diaz,edwin,621242
161,diaz,jhonathan,646242
162,diaz,miguel,622766
163,diaz,yennsy,660546
164,dickson,brandon,505447
165,diekman,jake,518617
166,difo,wilmer,594694
167,diplan,marcos,650959
168,dobnak,randy,677976
169,dohy,kyle,675971
170,dolis,rafael,503569
171,doolittle,sean,448281
172,doval,camilo,666808
173,drury,brandon,592273
174,duffey,tyler,608648
175,dugger,robert,667498
176,dunning,dane,641540
177,eaton,adam,594809
178,effross,scott,664123
179,eickhoff,jerad,595191
180,ellis,chris,595939
181,enns,dietrich,608650
182,eovaldi,nathan,543135
183,eshelman,thomas,664045
184,espinal,raynel,642659
185,espino,paolo,502179
186,estevez,carlos,608032
187,evans,demarcus,663770
188,fairbanks,pete,664126
189,falter,bailey,663559
190,familia,jeurys,544727
191,faria,jake,607188
192,farmer,buck,571656
193,farrell,luke,608652
194,fedde,erick,607200
195,feliz,michael,593140
196,feliz,neftali,491703
197,feltner,ryan,663372
198,fernandez,julian,642759
199,fernandez,junior,658551
200,feyereisen,j. p.,656420
201,finnegan,kyle,640448
202,flaherty,jack,656427
203,fleming,josh,676596
204,flexen,chris,623167
205,floro,dylan,571670
206,foley,jason,671345
207,foltynewicz,mike,592314
208,foster,matt,641582
209,freeland,kyle,607536
210,frias,luis,666818
211,fried,max,608331
212,fry,jace,605240
213,fry,paul,643316
214,fulmer,michael,605242
215,funkhouser,kyle,608335
216,gallegos,giovanny,606149
217,gallen,zac,668678
218,gant,john,607231
219,garcia,bryan,650530
220,garcia,edgar,658305
221,garcia,jarlin,606424
222,garcia,luis,677651
223,garcia,luis,472610
224,garcia,yimi,554340
225,garrett,amir,607237
226,garrett,braxton,666129
227,garza,justin,621057
228,garza,ralph,621248
229,gausman,kevin,592332
230,german,domingo,593334
231,gibaut,ian,664139
232,gibson,kyle,502043
233,gil,luis,661563
234,gilbert,logan,669302
235,gilbert,tyler,656457
236,gilbreath,lucas,656458
237,giolito,lucas,608337
238,givens,mychal,571710
239,gomber,austin,596295
240,gonsalves,stephen,624427
241,gonsolin,tony,664062
242,gonzales,marco,594835
243,gonzalez,chi chi,592346
244,gonzalez,romy,663853
245,gonzalez,victor,624647
246,gose,anthony,543238
247,goudeau,ashton,623485
248,graterol,brusdar,660813
249,graveman,kendall,608665
250,gray,jon,592351
251,gray,josiah,680686
252,gray,sonny,543243
253,green,chad,643338
254,greene,conner,641632
255,greene,shane,572888
256,greinke,zack,425844
257,gsellman,robert,607229
258,guenther,sean,674944
259,guerra,deolis,500610
260,guerra,javy,642770
261,guerra,javy,457915
262,guerra,junior,448855
263,guilmet,preston,543258
264,gustave,jandel,594311
265,gutiérrez,vladimir,661269
266,guzman,jorge,660422
267,hader,josh,623352
268,hammer,j. d.,670456
269,hand,brad,543272
270,hanhold,eric,621098
271,happ,j. a.,457918
272,hardy,blaine,543278
273,harper,ryne,607560
274,hartlieb,geoff,664129
275,harvey,matt,518774
276,hatch,thomas,641672
277,head,louis,545343
278,heaney,andrew,571760
279,hearn,taylor,621368
280,heasley,jon,669169
281,helsley,ryan,664854
282,hembree,heath,592390
283,hendricks,kyle,543294
284,hendriks,liam,521230
285,hendrix,ryan,641682
286,hentges,sam,656529
287,herget,jimmy,623474
288,hernandez,carlos,672578
289,hernandez,darwinzon,650382
290,hernandez,elieser,622694
291,hess,david,605276
292,heuer,codi,676051
293,hill,rich,448179
294,hill,tim,657612
295,hoffman,jeff,656546
296,holaday,bryan,592407
297,holland,derek,502706
298,holland,greg,518813
299,holloway,jordan,656548
300,holmes,clay,605280
301,holt,brock,571788
302,houck,tanner,656557
303,houser,adrian,605288
304,howard,sam,607572
305,howard,spencer,675921
306,hoyt,james,624586
307,hudson,dakota,641712
308,hudson,daniel,543339
309,hutchison,drew,571800
310,iglesias,raisel,628452
311,irvin,cole,608344
312,jackson,andre,656578
313,jackson,jay,543351
314,jackson,luke,592426
315,james,josh,657624
316,jansen,kenley,445276
317,javier,cristian,664299
318,jax,griffin,643377
319,jefferies,daulton,641726
320,jewell,jake,657228
321,jimenez,joe,641729
322,johnson,dj,597113
323,johnson,pierce,572955
324,jones,damon,676103
325,junis,jakob,596001
326,junk,janson,676083
327,kaprielian,james,621076
328,karinchak,james,675916
