,name_last,name_first,key_mlbam,spin_low_conf,spin_high_conf,spin_difference_conf,%k conf_low,%k conf_high,%k difference_conf,%K mean,spin rate mean
0,abad,fernando,472551,2392.026,2459.3655,67.33957,0.059028473,0.09945295,0.04042448,0.07924071,2425.6958
1,abbott,cory,676265,2117.337,2175.7869,58.449783,0.056047015,0.08875154,0.03270453,0.07239927,2146.562
2,abreu,albert,656061,2197.6128,2229.5535,31.9406,0.022403017,0.029337388,0.0069343704,0.025870202,2213.5833
3,abreu,bryan,650556,1812.4272,1893.7249,81.29759,0.075438075,0.11104268,0.035604607,0.09324038,1853.076
4,acevedo,domingo,642758,2039.1058,2070.7192,31.613514,0.013974734,0.016875649,0.002900915,0.01542519,2054.9126
5,adam,jason,592094,2008.8179,2044.1726,35.354744,0.01757521,0.022271432,0.004696222,0.01992332,2026.4952
6,adams,austin,613534,2480.5237,2511.509,30.985441,0.012246121,0.014599928,0.0023538063,0.013423024,2496.0164
7,aguilar,miguel,620396,2089.7231,2122.2466,32.523346,0.04810486,0.09745545,0.049350593,0.072780155,2105.9849
8,akin,keegan,669211,2101.8296,2121.8977,20.068031,0.013456486,0.015906861,0.002450374,0.014681674,2111.8635
9,alaniz,r. j.,595798,2068.0308,2100.9133,32.882698,0.0143301245,0.017723883,0.0033937579,0.016027004,2084.472
10,albers,andrew,452027,2201.2007,2261.689,60.488277,0.09596947,0.14435476,0.0483853,0.120162115,2231.4448
11,alcala,jorge,660896,2468.1255,2513.3176,45.191967,0.0725519,0.114470296,0.041918397,0.0935111,2490.7214
12,alcantara,sandy,645261,2086.293,2167.9822,81.68934,0.015437899,0.018295476,0.0028575775,0.016866688,2127.1375
13,alcantara,sergio,642727,1933.6267,2032.8392,99.21259,0.014265542,0.017627936,0.0033623932,0.015946738,1983.233
14,alexander,tyler,641302,2551.6401,2628.8933,77.25315,0.0537695,0.08367751,0.029908007,0.0687235,2590.2666
15,alexy,a. j.,669935,2442.7588,2482.447,39.68832,0.011092693,0.013510043,0.00241735,0.012301368,2462.6028
16,allard,kolby,663465,2019.1433,2075.7444,56.600956,0.04584507,0.07544588,0.029600812,0.060645476,2047.4438
17,allen,logan,663531,2078.8386,2124.767,45.928562,0.053823303,0.09680917,0.042985864,0.075316235,2101.8027
18,almonte,yency,622075,2346.585,2380.8052,34.220352,0.01362611,0.015883995,0.002257886,0.0147550525,2363.695
19,alvarado,jose,621237,2199.858,2257.3123,57.45438,0.016141647,0.019516472,0.0033748236,0.01782906,2228.5852
20,alvarez,jose,501625,2335.7751,2368.168,32.392735,0.0139428275,0.016577477,0.0026346496,0.015260152,2351.9717
21,alzolay,adbert,640470,2707.9622,2749.9048,41.94274,0.011084586,0.013435372,0.002350786,0.012259979,2728.9336
22,anderson,brett,474463,1889.3064,1942.8568,53.550438,0.06411402,0.09847658,0.03436256,0.0812953,1916.0815
23,anderson,chase,502624,1599.0426,1710.2356,111.19297,0.0127873765,0.015394376,0.0026069987,0.014090876,1654.639
24,anderson,drew,623454,2220.8174,2294.6692,73.851875,0.058874343,0.09728275,0.038408406,0.078078546,2257.7434
25,anderson,ian,666120,2347.681,2386.694,39.01318,0.013000298,0.015272952,0.0022726534,0.0141366245,2367.1875
26,anderson,nick,623433,2125.1736,2177.2312,52.057816,0.07166011,0.11037164,0.038711537,0.091015875,2151.2024
27,anderson,shaun,641312,2010.8362,2076.4685,65.63223,0.014527178,0.017280338,0.002753161,0.015903758,2043.6523
28,anderson,tanner,664196,1889.1478,1921.0732,31.925379,0.076431535,0.12661919,0.05018765,0.10152536,1905.1106
29,anderson,tyler,542881,1947.0369,2021.0646,74.027794,0.06568406,0.09735533,0.031671274,0.08151969,1984.0508
30,andriese,matt,542882,1765.0137,1796.7864,31.772755,0.0060580443,0.007952506,0.0018944616,0.0070052748,1780.9
