,name_last,name_first,key_mlbam,spin_low_conf,spin_high_conf,spin_difference_conf,%k conf_low,%k conf_high,%k difference_conf,%K mean,spin rate mean
0,aardsma,david,430911,2109.6235,2133.4678,23.844133,0.06528524,0.088875815,0.023590568,0.07708053,2121.5457
1,abad,fernando,472551,2017.7892,2043.7615,25.972342,0.012096514,0.01371512,0.0016186059,0.0129058175,2030.7753
2,abbott,cory,676265,2158.945,2201.7883,42.843372,0.13433336,0.17397991,0.039646555,0.15415663,2180.3667
3,abreu,albert,656061,2020.0583,2059.2292,39.170845,0.085881494,0.1184395,0.03255801,0.1021605,2039.6437
4,abreu,bryan,650556,2213.1382,2248.745,35.606827,0.012996663,0.014775405,0.0017787411,0.0138860345,2230.9417
5,acevedo,domingo,642758,1684.0797,1726.8599,42.780212,0.06275356,0.08541006,0.022656502,0.07408181,1705.4697
6,achter,a. j.,592091,1971.8027,1994.8475,23.044785,0.05829257,0.07907735,0.020784777,0.06868496,1983.3251
7,adam,jason,592094,1998.3235,2057.7166,59.393013,0.074020915,0.09302549,0.019004574,0.08352321,2028.02
8,adams,austin,613534,1976.616,2023.9608,47.34482,0.06734944,0.095113896,0.027764456,0.08123167,2000.2885
9,adams,austin,542866,2177.5989,2205.147,27.548023,0.014886114,0.01651637,0.0016302573,0.015701244,2191.3728
10,adams,chance,664856,2398.3381,2434.9805,36.642345,0.013260215,0.014795601,0.0015353869,0.014027908,2416.6592
11,adcock,nathan,502264,2017.0565,2071.6948,54.638153,0.016179195,0.017920386,0.0017411915,0.01704979,2044.3756
12,adleman,tim,534947,2100.623,2136.292,35.6691,0.07555854,0.10988575,0.034327213,0.09272215,2118.4575
13,adrianza,ehire,501303,1990.864,2044.6329,53.76897,0.01380499,0.015419435,0.0016144452,0.014612213,2017.7485
14,affeldt,jeremy,346793,2062.2524,2087.8987,25.646381,0.014070256,0.015815586,0.0017453297,0.014942921,2075.0754
15,agrazal,dario,642607,1907.8529,1946.7717,38.91892,0.05463318,0.076842226,0.022209046,0.06573771,1927.3123
16,akin,keegan,669211,2085.3748,2112.881,27.506222,0.068626404,0.09397814,0.025351735,0.08130227,2099.128
17,alaniz,r. j.,595798,1970.0311,1993.6544,23.623251,0.057887472,0.077921644,0.020034172,0.06790456,1981.8428
18,albers,andrew,452027,1693.804,1737.1792,43.375263,0.041628134,0.06295369,0.021325553,0.05229091,1715.4916
19,albers,matt,458006,1828.8097,1878.4362,49.626385,0.012265185,0.013913848,0.0016486631,0.013089516,1853.6229
20,alberto,hanser,593643,2029.2003,2072.639,43.43868,0.011855654,0.013652198,0.0017965437,0.012753926,2050.9197
