,level_0,index,game_date,release_spin_rate,release_spin_rate,release_spin_rate,release_spin_rate,release_spin_rate,release_spin_rate,release_spin_rate
,,,,FA,CH,FT,CU,SI,FS,FC
0,0,0,2015-04-05,,1899.388888888889,2075.5,2539.0,2148.6,,2306.1666666666665
1,1,1,2015-04-06,,1718.5245901639344,2143.9397590361446,2219.020725388601,2126.595652173913,1494.2142857142858,2120.280193236715
2,2,2,2015-04-07,,1736.5972222222222,2135.878260869565,2216.2266666666665,2066.3488372093025,1640.8,2047.0882352941176
3,3,3,2015-04-08,,1651.129411764706,2146.787018255578,2263.68458781362,2148.1586345381525,1437.6896551724137,2219.0054347826085
4,4,4,2015-04-09,,1651.0771812080536,2095.431623931624,2355.3774834437086,2069.806779661017,1429.909090909091,2158.7727272727275
5,5,5,2015-04-10,,1708.378260869565,2116.1662870159453,2223.820717131474,2046.3539325842696,1470.5777777777778,2164.8259259259257
6,6,6,2015-04-11,,1740.5942408376964,2175.638775510204,2272.0985915492956,2080.1921487603304,1174.8695652173913,2255.725321888412
7,7,7,2015-04-12,,1766.333938294011,2146.86032388664,2313.8988764044943,2051.176470588235,1587.3898305084747,2265.2602739726026
8,8,8,2015-04-13,,1783.481865284974,2140.013544018059,2333.526690391459,2129.1469194312795,1445.2307692307693,2223.680412371134
9,9,9,2015-04-14,,1697.4369501466276,2107.844827586207,2341.285714285714,2081.1243386243386,1547.9444444444443,2141.6019417475727
10,10,10,2015-04-15,,1637.2529880478087,2069.1852459016395,2309.8600823045267,2103.0,1545.7605633802816,2155.029605263158
11,11,11,2015-04-16,,1840.6989247311828,2182.969298245614,2324.145631067961,2040.2197802197802,1136.6666666666667,2034.3454545454545
12,12,12,2015-04-17,,1741.5257985257986,2191.36032388664,2322.55078125,2059.3718592964824,1437.6818181818182,2250.847972972973
13,13,13,2015-04-18,2550.0,1736.2281368821293,2123.9083601286175,2334.6458333333335,2095.159420289855,1537.056074766355,2236.245810055866
14,14,14,2015-04-19,,1698.3832599118944,2152.0602150537634,2387.7679083094554,2084.412244897959,1344.3076923076924,2208.1570680628274
15,15,15,2015-04-20,,1660.3978873239437,2022.2873134328358,2441.6346153846152,2112.8464163822528,1377.3493975903614,2145.8028169014083
16,16,16,2015-04-21,,1762.7295373665481,2088.2523659305994,2243.910798122066,2066.6465256797583,1474.3035714285713,2186.8088737201365
17,17,17,2015-04-22,,1702.4693396226414,2149.8741007194244,2228.875,2054.9080675422138,1336.797619047619,2248.690909090909
